Model 	GenomeIDSpeciesA 	GenomeIDSpeciesB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo 	PercentChangeRawA 	PercentChangeRawB 	TypeOfInteraction
267747.3X1227268.3 	267747.3 	1227268.3 	148.691428828 	85.6076586255 	154.353403393 	86.5823178198 	-0.036681890004 	-0.0112570235915 	Neutralism
267747.3X1235797.3 	267747.3 	1235797.3 	157.523094322 	19.514978221 	154.353403393 	22.0694443632 	0.0205352837017 	-0.11574673563 	Amensalism
267747.3X1235815.4 	267747.3 	1235815.4 	153.083132971 	46.3920736749 	154.353403393 	46.3929172715 	-0.0082296236693 	-1.81837368637e-05 	Neutralism
267747.3X1304880.3 	267747.3 	1304880.3 	148.877340442 	8.57990473447 	154.353403393 	1.28254505898 	-0.0354774357457 	5.68974916273 	Commensalism
267747.3X1321817.3 	267747.3 	1321817.3 	154.812814963 	13.0846244282 	154.353403393 	14.6511250878 	0.00297636177694 	-0.106920161436 	Amensalism
267747.3X1332188.3 	267747.3 	1332188.3 	152.638238703 	36.8896643112 	154.353403393 	36.8896643112 	-0.0111119330854 	0.0 	Neutralism
267747.3X1395125.3 	267747.3 	1395125.3 	157.500541403 	52.6391941724 	154.353403393 	52.6391941724 	0.020389171478 	0.0 	Neutralism
267747.3X1400053.5 	267747.3 	1400053.5 	142.73918128 	60.8185862408 	154.353403393 	54.3494132372 	-0.0752443539157 	0.119029307186 	Commensalism
267747.3X1414720.3 	267747.3 	1414720.3 	160.39161652 	16.8762981853 	154.353403393 	7.09094914168 	0.0391194038762 	1.37997732717 	Commensalism
267747.3X1476577.3 	267747.3 	1476577.3 	149.16609521 	7.93477203157 	154.353403393 	1.18775713882 	-0.033606697805 	5.68046671515 	Commensalism
267747.3X1514668.3 	267747.3 	1514668.3 	147.618347682 	11.6067841994 	154.353403393 	7.62721135959 	-0.0436339955126 	0.521759874244 	Commensalism
267747.3X1539298.3 	267747.3 	1539298.3 	135.51517315 	93.1385905062 	154.353403393 	74.4521110572 	-0.122046095706 	0.250986562821 	Parasitism
267747.3X176279.9 	267747.3 	176279.9 	172.453112785 	33.9631754918 	154.353403393 	44.6964484443 	0.117261485618 	-0.240137042787 	Parasitism
267747.3X267747.3 	267747.3 	267747.3 	114.60189206 	132.653194037 	154.353403393 	154.353403393 	-0.257535697038 	-0.140587825594 	Competition
267747.3X365659.3 	267747.3 	365659.3 	159.680640682 	4.82687138667 	154.353403393 	3.5915994704 	0.0345132479874 	0.3439336503 	Commensalism
267747.3X397291.3 	267747.3 	397291.3 	155.590748727 	25.3531581575 	154.353403393 	10.411622184 	0.00801631390563 	1.4350824213 	Commensalism
267747.3X428125.8 	267747.3 	428125.8 	148.018756669 	9.55899031724 	154.353403393 	2.38869688949 	-0.041039890179 	3.00175943599 	Commensalism
267747.3X435590.9 	267747.3 	435590.9 	157.485614292 	17.8141753371 	154.353403393 	17.8141753371 	0.0202924641125 	0.0 	Neutralism
267747.3X457394.3 	267747.3 	457394.3 	156.902571625 	17.8136687039 	154.353403393 	17.8136687039 	0.0165151410721 	0.0 	Neutralism
267747.3X457412.4 	267747.3 	457412.4 	156.543057689 	21.6434098347 	154.353403393 	16.9457019805 	0.0141859800164 	0.277221200963 	Commensalism
267747.3X525257.3 	267747.3 	525257.3 	125.988157786 	122.20019242 	154.353403393 	87.7224984404 	-0.183768190292 	0.39303137271 	Parasitism
267747.3X537011.5 	267747.3 	537011.5 	147.17631048 	81.638785032 	154.353403393 	73.0927528114 	-0.046497795029 	0.116920377081 	Commensalism
267747.3X548479.6 	267747.3 	548479.6 	147.961245472 	12.5056156446 	154.353403393 	7.6785484781 	-0.0414124844706 	0.628643184355 	Commensalism
267747.3X552395.3 	267747.3 	552395.3 	160.159896853 	21.812858819 	154.353403393 	16.1579856101 	0.037618175773 	0.349973898068 	Commensalism
267747.3X553177.6 	267747.3 	553177.6 	147.627108017 	71.3075499571 	154.353403393 	27.8995483491 	-0.0435772404634 	1.55586753824 	Commensalism
267747.3X553178.3 	267747.3 	553178.3 	147.822301949 	53.1195455642 	154.353403393 	14.5910863199 	-0.0423126494164 	2.64054768779 	Commensalism
267747.3X553206.4 	267747.3 	553206.4 	148.835093523 	21.8239208325 	154.353403393 	19.4600963475 	-0.0357511382885 	0.121470338214 	Commensalism
267747.3X553220.3 	267747.3 	553220.3 	151.904605385 	21.4346699806 	154.353403393 	8.88257899999 	-0.0158648786108 	1.4131133515 	Commensalism
267747.3X575604.3 	267747.3 	575604.3 	159.568708079 	21.8939655804 	154.353403393 	25.4832714542 	0.033788077045 	-0.140849493373 	Amensalism
267747.3X596320.3 	267747.3 	596320.3 	131.435878624 	113.800586167 	154.353403393 	97.6127807015 	-0.148474372869 	0.16583694624 	Parasitism
267747.3X620833.3 	267747.3 	620833.3 	102.899773279 	175.697753757 	154.353403393 	117.271730005 	-0.333349501747 	0.498210640787 	Parasitism
267747.3X635013.3 	267747.3 	635013.3 	149.310415402 	8.5962578466 	154.353403393 	2.38864222342 	-0.032671699361 	2.59880511293 	Commensalism
267747.3X665946.3 	267747.3 	665946.3 	134.994896249 	108.788956758 	154.353403393 	96.6712981155 	-0.125416781998 	0.125349083738 	Parasitism
267747.3X679201.3 	267747.3 	679201.3 	159.961505539 	107.712701056 	154.353403393 	126.132923418 	0.0363328700419 	-0.146038178319 	Amensalism
267747.3X699246.3 	267747.3 	699246.3 	150.292821076 	8.43604466124 	154.353403393 	1.22331770253 	-0.026307047514 	5.89603742658 	Commensalism
267747.3X706433.3 	267747.3 	706433.3 	158.419484694 	4.4713419824 	154.353403393 	6.30304322756 	0.0263426734469 	-0.290605851654 	Amensalism
267747.3X713605.5 	267747.3 	713605.5 	160.362183122 	13.6672466486 	154.353403393 	3.87438055954 	0.038928715512 	2.52759529906 	Commensalism
267747.3X717959.3 	267747.3 	717959.3 	149.12511185 	72.9383822506 	154.353403393 	58.3503866084 	-0.033872214205 	0.250006837831 	Commensalism
267747.3X748671.3 	267747.3 	748671.3 	157.514492132 	21.1106945531 	154.353403393 	24.224237003 	0.0204795532169 	-0.12853005234 	Amensalism
267747.3X762948.4 	267747.3 	762948.4 	147.102058808 	21.1294159466 	154.353403393 	20.8927089422 	-0.0469788448172 	0.0113296463879 	Neutralism
267747.3X762963.3 	267747.3 	762963.3 	158.293606888 	41.7294874599 	154.353403393 	31.4884377538 	0.0255271565666 	0.32523206728 	Commensalism
267747.3X762966.3 	267747.3 	762966.3 	147.417670339 	43.5903712674 	154.353403393 	30.6111346383 	-0.0449341116006 	0.424003774524 	Commensalism
