ModelName 	ObjFuntionSpeciesA 	ObjFunctionSpeceisB 	GRSpeciesAFull 	GRSpeciesBFull 	GRASolo 	GRBSolo
A_1203573_3XA_411486_3 	A_1203573_3 	A_411486_3 	15.2814104636 	16.1236185859 	25.3374074362 	13.1434750176
A_1203603_3XA_267747_3 	A_1203603_3 	A_267747_3 	64.5315065857 	150.140049018 	56.9687115201 	154.353403393
A_1203603_3XA_313596_4_model 	A_1203603_3 	A_313596_4_model 	61.7509467583 	39.4742809903 	56.9687115201 	67.2073111238
A_1203603_3XA_340101_3 	A_1203603_3 	A_340101_3 	63.9428631373 	39.326686764 	56.9687115201 	47.191686496
A_1203603_3XA_411483_3_model 	A_1203603_3 	A_411483_3_model 	59.7697505096 	12.5864914744 	56.9687115201 	17.5198883854
A_1218103_5XA_267747_3 	A_1218103_5 	A_267747_3 	125.319656302 	122.89255885 	96.991699722 	154.353403393
A_1227268_3XA_1203556_3 	A_1227268_3 	A_1203556_3 	86.5823178198 	27.6126383498 	86.5823178198 	19.8774037601
A_1227268_3XA_537013_3 	A_1227268_3 	A_537013_3 	84.4101025558 	9.13396560879 	86.5823178198 	1.27699415409
A_1227268_3XA_762963_3 	A_1227268_3 	A_762963_3 	86.4882422456 	47.8586905027 	86.5823178198 	31.4884377538
A_1227268_3XA_862512_3 	A_1227268_3 	A_862512_3 	86.0591376176 	33.7872569369 	86.5823178198 	26.1459817409
A_1227268_3XA_944560_4 	A_1227268_3 	A_944560_4 	84.1235099993 	84.8378683012 	86.5823178198 	85.6749235987
A_1227268_3XA_997353_4 	A_1227268_3 	A_997353_4 	55.6686541431 	67.9562486975 	86.5823178198 	70.6356690236
A_1227272_3XA_445970_5 	A_1227272_3 	A_445970_5 	47.1894272745 	25.1604765492 	47.1613598282 	25.1604765492
A_1235797_3XA_879304_3 	A_1235797_3 	A_879304_3 	13.8320479582 	23.925429573 	22.0694443632 	2.3925429573
A_1235815_4XA_1077975_4 	A_1235815_4 	A_1077975_4 	46.3929172715 	127.101313117 	46.3929172715 	128.148389783
A_1235815_4XA_1105030_3 	A_1235815_4 	A_1105030_3 	46.3920736749 	19.4789813695 	46.3929172715 	19.877492208
A_1235815_4XA_1321817_3 	A_1235815_4 	A_1321817_3 	46.3920736749 	14.1994945235 	46.3929172715 	14.6511250878
A_1235815_4XA_267747_3 	A_1235815_4 	A_267747_3 	46.3920736749 	153.083132971 	46.3929172715 	154.353403393
A_1235815_4XA_457394_3 	A_1235815_4 	A_457394_3 	46.3929172715 	17.8136687039 	46.3929172715 	17.8136687039
A_1235815_4XA_552395_3_model 	A_1235815_4 	A_552395_3_model 	46.3920736749 	17.4331560716 	46.3929172715 	16.1579856101
